SMILES,Cluster_at_cutoff_0.2,Cluster_at_cutoff_0.3,Cluster_at_cutoff_0.25,Cluster_at_cutoff_0.35,Cluster_at_cutoff_0.4,Cluster_at_cutoff_0.45,Cluster_at_cutoff_0.5,Cluster_at_cutoff_0.55,Cluster_at_cutoff_0.6,Cluster_at_cutoff_0.65,Cluster_at_cutoff_0.75,Cluster_at_cutoff_0.7,Cluster_at_cutoff_0.8,Cluster_at_cutoff_0.85,Cluster_at_cutoff_0.9,Cluster_at_cutoff_0.95,Cluster_at_cutoff_0.99
COC1Nc2ccccc2C(=O)N2CC(O)CC12,72695,61755,67612,54585,46767,7846,9348,16084,14684,12275,163,3027,363,8,0,0,0
C=C1C(O)C2OC3(CCC(C=CC(C)C4CC(C)=CC5(OC(CC(C)(O)C(=O)O)CCC5O)O4)O3)CCC2OC1C(O)CC(C)C1OC2(CCCCO2)CCC1C,72694,9532,67611,11848,13679,14753,15357,14973,13925,11870,5799,9086,2238,105,1,0,0
Nc1ccc2c3c(cccc13)CC2,72693,61754,67610,54584,46766,39779,32114,26670,21187,8860,1933,3120,1328,71,0,0,0
c1cc(NC2=NCCO2)c2c3c1CCC3CCC2,72692,61753,67609,54583,46765,39778,32113,26669,4001,732,503,1938,157,85,18,0,0
c1cc2c3c(cccc3c1)CC2,72691,61752,67608,54582,46764,39777,32112,15638,7500,6900,2787,3860,568,251,0,0,0
CC(C(=O)O)c1ccc2c3c(cccc13)C(c1ccccc1)C2,72690,61751,67607,54581,46763,39776,16718,16083,14683,12274,266,7715,325,0,0,0,0
O=C(O)Cc1ccc2c3c(cccc13)C(c1ccccc1)C2,72689,61750,67606,54580,46762,39775,16718,16083,14683,12274,3306,7715,103,0,0,0,0
O=C1C(=O)c2cccc3cccc1c23,72688,61749,67605,54579,46761,39774,11690,4134,4597,3465,1951,1931,411,25,4,0,0
N#CC(C#N)=c1c(=O)c2cccc3cccc1c32,72687,61748,67604,54578,46760,39773,32111,26668,21186,15565,4929,10704,555,25,3,0,0
O=C1Cc2cccc3cccc1c23,72686,61747,67603,54577,46759,39772,32110,26667,14682,12273,2787,3076,477,25,0,0,0
FC1(F)SC2c3cccc4cccc(c34)C2C1(F)F,72685,61746,67602,54576,46758,39771,32109,26666,21185,15564,4730,10703,2128,212,4,0,0
Cl.NC1=NC2c3cccc4cccc(c34)C2O1,72684,61745,67601,54575,46757,39770,32108,16082,14681,10554,3346,7714,1069,251,7,0,0
CN(C)C1=NC2c3cccc4cccc(c34)C2O1.O=C(O)C=CC(=O)O,72683,61744,67600,54574,46756,39769,32107,16082,14681,10554,862,7714,195,7,0,0,0
CN1C(=N)OC2c3cccc4cccc(c34)C21.Cl,72682,61743,67599,54573,46755,39768,32106,26665,21184,15563,4730,7714,2128,127,0,0,0
CN=C1NC2c3cccc4cccc(c34)C2O1.Cl,72681,61742,67598,54572,46754,39767,32105,26664,21183,10554,4730,7714,1243,212,0,0,0
C1=Cc2cccc3cccc1c23,72680,61741,67597,54571,46753,39766,32104,26663,21182,5086,2787,3860,1105,140,17,0,0
CC=O,2193,5377,3670,7419,9346,10728,11937,12172,11760,4818,721,2209,36,200,16,12,0
NC1=CC(=O)OC1=CC=O,72679,61740,67596,54570,46752,39765,32103,26662,21181,15562,5861,10702,2850,529,34,1,0
O=CCN(CCCl)CCCl,72678,61739,67595,54569,46751,39764,32102,11872,6889,412,143,260,184,13,24,0,0
