NCBI_rank_superkingdom,NCBI_rank_kingdom,NCBI_rank_phylum,NCBI_rank_subphylum,NCBI_rank_class,NCBI_rank_order,NCBI_rank_family,NCBI_rank_genus,NCBI_rank_species,species_group_corrected,assigned_conc_unit,assigned_acute_effect,assigned_acute_duration
2759,33208,7711,89593,40674,9989,10066,10088,10090,rodents,mg/kg,MOR,
2759,33208,7711,89593,40674,9989,10066,10114,10116,rodents,mg/kg,MOR,
2759,33208,7711,89593,40674,9975,9979,9984,9986,other mammals,mg/kg,MOR,
2759,33208,7711,89593,40674,9989,337677,10035,10036,rodents,mg/kg,MOR,
2759,33208,7711,89593,40674,9989,10139,10140,10141,rodents,mg/kg,MOR,
2759,33208,7711,89593,40674,33554,9681,9682,9685,other mammals,mg/kg,MOR,
2759,33208,7711,89593,40674,33554,9608,9611,9612,other mammals,mg/kg,MOR,
2759,33208,7711,89593,8782,8976,9005,9030,9031,birds,mg/kg,MOR,
2759,33208,7711,89593,8782,8826,8830,8835,8839,birds,mg/kg,MOR,
2759,33208,7711,89593,8782,8976,9005,9102,9103,birds,mg/kg,MOR,
2759,33208,7711,89593,8782,8929,8930,8931,8932,birds,mg/kg,MOR,
2759,33208,7711,89593,40674,91561,9821,9822,9823,other mammals,mg/kg,MOR,
2759,33208,7711,89593,40674,9787,9788,9789,9796,other mammals,mg/kg,MOR,
2759,33208,7711,89593,40674,9443,9604,9605,9606,other mammals,mg/kg,MOR,
2759,33208,7711,89593,186623,8006,8015,8016,8022,fish,mg/l,MOR,96.0
2759,33208,7711,89593,186623,7952,7953,7961,7962,fish,mg/l,MOR,96.0
2759,33208,7711,89593,40674,91561,9895,9903,9913,other mammals,mg/kg,MOR,
2759,33208,7711,89593,40674,91561,9895,9935,9940,other mammals,mg/kg,MOR,
2759,33208,7711,89593,40674,33554,9655,2902005,452646,other mammals,mg/kg,MOR,
2759,33208,6656,6657,6681,6821,111552,111556,326568,crustaceans,mg/l,MOR,47.99999999999999
2759,33208,6656,6657,6681,29979,63227,92524,92525,crustaceans,mg/l,MOR,47.99999999999999
2759,33208,6340,,42113,85671,77569,61661,61662,worms,mg/l,MOR,
2759,33208,10190,,2816136,84394,10193,10194,104777,rotifers,mg/l,MOR,
2759,,5878,431838,6020,31277,291294,5890,5908,protozoans,mg/l,POP,
2759,4751,4890,147537,3239874,2916678,766764,5475,5482,fungi,mg/l,GRO,
